data,ano_mes,numero_pedido,cliente,segmento,regiao,vendedor,produto,categoria,tipo_operacao,quantidade,desconto_pct,receita_total,custo_produto,custo_entrega,custo_comissao,frete_subsidiado,margem_contribuicao
2025-01-01,2025-01,50003,Alvorada Distribuidora ME,Mercado,Interior Sul,Simone Klein,Mascara Descartavel - Fardo 12,EPI,VENDA,10,2.38,206.61,117.0,32.02,6.45,9.61,51.14
2025-01-01,2025-01,50007,Serrano Servicos LTDA ME,Mercado,Interior Norte,Simone Klein,Oculos Protecao - Caixa 24,EPI,VENDA,5,2.71,148.76,88.8,13.45,4.88,4.04,41.63
2025-01-01,2025-01,50008,Nortao Alimentos S/A,Escola,Interior Norte,Simone Klein,mop umido - fardo 6,Acessorios,VENDA,5,1.38,195.3,101.15,37.42,5.92,11.22,50.81
2025-01-02,2025-01,50012,Luminar Alimentos S/A,Restaurante,Interior Sul,Rogerio Antunes,Prato Descartavel 15cm - Caixa 24,Descartaveis,VENDA,3,2.81,64.17,58.11,6.31,1.93,6.31,-2.18
2025-01-02,2025-01,50013,Horizonte Distribuidora S/A,Condominio,Regiao Metropolitana,Rogerio Antunes,Papel Toalha Rolo 100f - Pacote 100,Papel,VENDA,2,2.81,167.18,109.78,27.12,4.45,8.14,25.83
2025-01-03,2025-01,50016,Serrano Servicos LTDA ME,Mercado,Interior Norte,Simone Klein,SACO LIXO 60L - PACOTE 100,Descartaveis,VENDA,5,7.6,100.23,66.65,43.18,2.45,12.95,-12.05
2025-01-04,2025-01,50020,Aurora Distribuidora LTDA ME,Clinica,Litoral,Simone Klein,Detergente Neutro 5L - Pacote 100,Quimicos,VENDA,3,3.29,85.37,44.28,29.3,2.27,8.79,9.52
2025-01-07,2025-01,50031,Horizonte Distribuidora S/A,Condominio,Regiao Metropolitana,Rogerio Antunes,papel higienico rolao 300m - fardo 6,Papel,VENDA,1,4.16,81.67,61.36,9.86,2.45,9.86,8.0
2025-01-07,2025-01,50031,Horizonte Distribuidora S/A,Condominio,Regiao Metropolitana,Rogerio Antunes,Balde 20L - Caixa 24,Acessorios,VENDA,5,0.45,68.85,40.8,8.31,2.07,8.31,17.67
2025-01-07,2025-01,50033,Trevo Comercio ME,Clinica,Regiao Metropolitana,Tarcisio Bueno,Escova Sanitaria - Fardo 12,Acessorios,VENDA,3,0.24,90.17,43.44,23.9,2.06,7.17,20.77
